id,url,commonName,lat,lon,Total Docks
BikePoints_1,/Place/BikePoints_1,"River Street , Clerkenwell",51.529163,-0.10997,19
BikePoints_2,/Place/BikePoints_2,"Phillimore Gardens, Kensington",51.499606,-0.197574,37
BikePoints_3,/Place/BikePoints_3,"Christopher Street, Liverpool Street",51.521283,-0.084605,32
BikePoints_4,/Place/BikePoints_4,"St. Chad's Street, King's Cross",51.530059,-0.120973,23
BikePoints_5,/Place/BikePoints_5,"Sedding Street, Sloane Square",51.49313,-0.156876,27
BikePoints_6,/Place/BikePoints_6,"Broadcasting House, Marylebone",51.518117,-0.144228,18
BikePoints_7,/Place/BikePoints_7,"Charlbert Street, St. John's Wood",51.5343,-0.168074,16
BikePoints_8,/Place/BikePoints_8,"Maida Vale, Maida Vale",51.529857,-0.183486,38
BikePoints_9,/Place/BikePoints_9,"New Globe Walk, Bankside",51.507385,-0.09644,19
BikePoints_10,/Place/BikePoints_10,"Park Street, Bankside",51.505974,-0.092754,18
BikePoints_11,/Place/BikePoints_11,"Brunswick Square, Bloomsbury",51.523951,-0.122502,24
BikePoints_12,/Place/BikePoints_12,"Malet Street, Bloomsbury",51.52168,-0.130431,49
BikePoints_13,/Place/BikePoints_13,"Scala Street, Fitzrovia",51.519914,-0.136039,21
BikePoints_14,/Place/BikePoints_14,"Argyle Street, Kings Cross",51.529416,-0.123944,45
BikePoints_15,/Place/BikePoints_15,"Great Russell Street, Bloomsbury",51.517727,-0.127854,26
BikePoints_16,/Place/BikePoints_16,"Cartwright Gardens , Bloomsbury",51.526357,-0.125979,21
BikePoints_17,/Place/BikePoints_17,"Hatton Wall, Holborn",51.521661,-0.109006,26
BikePoints_18,/Place/BikePoints_18,"Drury Lane, Covent Garden",51.51477,-0.122219,27
BikePoints_19,/Place/BikePoints_19,"Taviton Street, Bloomsbury",51.52505,-0.131161,30
BikePoints_20,/Place/BikePoints_20,"Drummond Street , Euston",51.527326,-0.136052,28
BikePoints_21,/Place/BikePoints_21,"Lansdowne Drive, Hackney Central",51.539834,-0.062806,26
BikePoints_22,/Place/BikePoints_22,"Northington Street , Holborn",51.522264,-0.114079,19
BikePoints_23,/Place/BikePoints_23,"Red Lion Square, Holborn",51.519435,-0.119123,16
BikePoints_24,/Place/BikePoints_24,"British Museum, Bloomsbury",51.51908,-0.124678,35
BikePoints_25,/Place/BikePoints_25,"Doric Way , Somers Town",51.528833,-0.13225,50
BikePoints_26,/Place/BikePoints_26,"Ampton Street , Clerkenwell",51.52728,-0.118295,21
BikePoints_27,/Place/BikePoints_27,"Bouverie Street, Temple",51.513821,-0.107927,33
BikePoints_28,/Place/BikePoints_28,"Bolsover Street, Fitzrovia",51.523518,-0.143613,19
BikePoints_29,/Place/BikePoints_29,"Hereford Road, Bayswater",51.513735,-0.193487,22
BikePoints_30,/Place/BikePoints_30,"Windsor Terrace, Hoxton",51.529154,-0.093421,24
BikePoints_31,/Place/BikePoints_31,"Fanshaw Street, Hoxton",51.529537,-0.083353,36
BikePoints_32,/Place/BikePoints_32,"Leonard Circus , Shoreditch",51.524696,-0.084439,43
BikePoints_33,/Place/BikePoints_33,"Central House, Aldgate",51.515231,-0.07015,18
BikePoints_34,/Place/BikePoints_34,"Pancras Road, King's Cross",51.534123,-0.129386,16
BikePoints_36,/Place/BikePoints_36,"De Vere Gardens, Kensington",51.501737,-0.18498,28
BikePoints_37,/Place/BikePoints_37,"Penywern Road, Earl's Court",51.491593,-0.192369,17
BikePoints_38,/Place/BikePoints_38,"Abingdon Villas, Kensington",51.497387,-0.197245,17
BikePoints_39,/Place/BikePoints_39,"Shoreditch High Street, Shoreditch",51.526377,-0.07813,41
BikePoints_40,/Place/BikePoints_40,"Commercial Street, Shoreditch",51.52127,-0.075578,16
BikePoints_41,/Place/BikePoints_41,"Pindar Street, Liverpool Street",51.520955,-0.083493,24
BikePoints_42,/Place/BikePoints_42,"Wenlock Road , Hoxton",51.530991,-0.093903,28
BikePoints_43,/Place/BikePoints_43,"Crawford Street, Marylebone",51.52026,-0.157183,18
BikePoints_44,/Place/BikePoints_44,"Bruton Street, Mayfair",51.510736,-0.144165,21
BikePoints_45,/Place/BikePoints_45,"Boston Place, Marylebone",51.522511,-0.162298,26
BikePoints_46,/Place/BikePoints_46,"Nesham Street, Wapping",51.507131,-0.06691,16
BikePoints_47,/Place/BikePoints_47,"Warwick Avenue Station, Maida Vale",51.523344,-0.183846,19
BikePoints_48,/Place/BikePoints_48,"Godliman Street, St. Paul's",51.512484,-0.099141,25
BikePoints_49,/Place/BikePoints_49,"Curzon Street, Mayfair",51.507069,-0.145904,16
BikePoints_50,/Place/BikePoints_50,"East Road, Hoxton",51.528673,-0.087459,27
BikePoints_51,/Place/BikePoints_51,"Finsbury Library , Finsbury",51.526717,-0.104298,29
BikePoints_52,/Place/BikePoints_52,"Roscoe Street, St. Luke's",51.522954,-0.094934,18
BikePoints_53,/Place/BikePoints_53,"Grafton Street, Mayfair",51.509992,-0.143495,18
BikePoints_54,/Place/BikePoints_54,"Golden Lane, Barbican",51.521747,-0.094475,27
BikePoints_55,/Place/BikePoints_55,"Finsbury Circus, Liverpool Street",51.517075,-0.086685,33
BikePoints_56,/Place/BikePoints_56,"Paddington Street, Marylebone",51.520583,-0.154701,16
BikePoints_57,/Place/BikePoints_57,"Guilford Street , Bloomsbury",51.523346,-0.120202,32
BikePoints_58,/Place/BikePoints_58,"New Inn Yard, Shoreditch",51.524526,-0.079248,20
BikePoints_61,/Place/BikePoints_61,"Great Dover Street, The Borough",51.497382,-0.089446,33
BikePoints_62,/Place/BikePoints_62,"Cotton Garden Estate, Kennington",51.490757,-0.106323,24
BikePoints_63,/Place/BikePoints_63,"Murray Grove , Hoxton",51.53089,-0.089782,27
BikePoints_64,/Place/BikePoints_64,"William IV Street, Strand",51.509462,-0.124749,26
BikePoints_65,/Place/BikePoints_65,"Gower Place , Euston",51.525227,-0.135188,17
BikePoints_66,/Place/BikePoints_66,"Holborn Circus, Holborn",51.51795,-0.108657,40
BikePoints_67,/Place/BikePoints_67,"Hatton Garden, Holborn",51.518825,-0.108028,28
BikePoints_68,/Place/BikePoints_68,"Theobald's Road , Holborn",51.520596,-0.116688,26
BikePoints_70,/Place/BikePoints_70,"Calshot Street , King's Cross",51.53136,-0.117069,24
BikePoints_71,/Place/BikePoints_71,"Newgate Street , St. Paul's",51.515418,-0.09885,34
BikePoints_72,/Place/BikePoints_72,"Farringdon Lane, Clerkenwell",51.52352,-0.10834,16
BikePoints_73,/Place/BikePoints_73,"Old Street Station, St. Luke's",51.525615,-0.088532,34
BikePoints_74,/Place/BikePoints_74,"Vauxhall Cross, Vauxhall",51.485917,-0.124469,17
BikePoints_75,/Place/BikePoints_75,"Torrens Street, Angel",51.532199,-0.10548,19
BikePoints_76,/Place/BikePoints_76,"Longford Street, The Regent's Park",51.525595,-0.144083,21
BikePoints_77,/Place/BikePoints_77,"Russell Square Station, Bloomsbury",51.523418,-0.124121,26
BikePoints_78,/Place/BikePoints_78,"Sadlers Sports Centre, Finsbury",51.524868,-0.099489,17
BikePoints_79,/Place/BikePoints_79,"Arundel Street, Temple",51.511726,-0.113855,18
BikePoints_80,/Place/BikePoints_80,"Webber Street , Southwark",51.500693,-0.102091,45
BikePoints_81,/Place/BikePoints_81,"Great Titchfield Street, Fitzrovia",51.520253,-0.141327,19
BikePoints_83,/Place/BikePoints_83,"Panton Street, West End",51.509639,-0.13151,21
BikePoints_84,/Place/BikePoints_84,"Breams Buildings, Holborn",51.515937,-0.111778,25
BikePoints_85,/Place/BikePoints_85,"Tanner Street, Bermondsey",51.500647,-0.0786,41
BikePoints_86,/Place/BikePoints_86,"Sancroft Street, Vauxhall",51.489479,-0.115156,24
BikePoints_88,/Place/BikePoints_88,"Bayley Street , Bloomsbury",51.518587,-0.132053,25
BikePoints_89,/Place/BikePoints_89,"Tavistock Place, Bloomsbury",51.52625,-0.123509,19
BikePoints_90,/Place/BikePoints_90,"Harrington Square 1, Camden Town",51.533019,-0.139174,27
BikePoints_91,/Place/BikePoints_91,"Walnut Tree Walk, Vauxhall",51.493686,-0.111014,20
BikePoints_92,/Place/BikePoints_92,"Borough Road, Elephant & Castle",51.498898,-0.10044,41
BikePoints_93,/Place/BikePoints_93,"Cloudesley Road, Angel",51.534408,-0.109025,37
BikePoints_94,/Place/BikePoints_94,"Bricklayers Arms, Borough",51.495061,-0.085814,28
BikePoints_95,/Place/BikePoints_95,"Aldersgate Street, Barbican",51.520841,-0.09734,15
BikePoints_96,/Place/BikePoints_96,"Falkirk Street, Hoxton",51.53095,-0.078505,26
BikePoints_97,/Place/BikePoints_97,"Gloucester Road (North), Kensington",51.497924,-0.183834,18
BikePoints_98,/Place/BikePoints_98,"Hampstead Road, Euston",51.525542,-0.138231,54
BikePoints_99,/Place/BikePoints_99,"Old Quebec Street, Marylebone",51.514577,-0.158264,16
BikePoints_100,/Place/BikePoints_100,"Albert Embankment, Vauxhall",51.490435,-0.122806,24
BikePoints_101,/Place/BikePoints_101,"Queen Street 1, Bank",51.511553,-0.09294,22
BikePoints_102,/Place/BikePoints_102,"Jewry Street, Aldgate",51.513406,-0.076793,17
BikePoints_103,/Place/BikePoints_103,"Vicarage Gate, Kensington",51.504723,-0.192538,18
BikePoints_104,/Place/BikePoints_104,"Crosswall, Tower",51.511594,-0.077121,34
BikePoints_105,/Place/BikePoints_105,"Westbourne Grove, Bayswater",51.515529,-0.19024,26
BikePoints_106,/Place/BikePoints_106,"Woodstock Street, Mayfair",51.514105,-0.147301,21
BikePoints_107,/Place/BikePoints_107,"Finsbury Leisure Centre, St. Luke's",51.526008,-0.096317,20
BikePoints_108,/Place/BikePoints_108,"Abbey Orchard Street, Westminster",51.498125,-0.132102,29
BikePoints_109,/Place/BikePoints_109,"Soho Square , Soho",51.515631,-0.132328,57
BikePoints_110,/Place/BikePoints_110,"Wellington Road, St. John's Wood",51.533043,-0.172528,17
BikePoints_111,/Place/BikePoints_111,"Park Lane , Hyde Park",51.510017,-0.157275,28
BikePoints_113,/Place/BikePoints_113,"Gloucester Road (Central), South Kensington",51.496462,-0.183289,19
BikePoints_114,/Place/BikePoints_114,"Park Road (Baker Street), The Regent's Park",51.524517,-0.158963,22
BikePoints_115,/Place/BikePoints_115,"Braham Street, Aldgate",51.514233,-0.073537,34
BikePoints_116,/Place/BikePoints_116,"Little Argyll Street, West End",51.514499,-0.141423,21
BikePoints_117,/Place/BikePoints_117,"Lollard Street, Vauxhall",51.49288,-0.114934,25
BikePoints_118,/Place/BikePoints_118,"Rochester Row, Westminster",51.495827,-0.135478,13
BikePoints_119,/Place/BikePoints_119,"Bath Street, St. Luke's",51.525893,-0.090847,18
BikePoints_120,/Place/BikePoints_120,"The Guildhall, Guildhall",51.515735,-0.09308,17
BikePoints_121,/Place/BikePoints_121,"Baker Street, Marylebone",51.518913,-0.156166,22
BikePoints_122,/Place/BikePoints_122,"Norton Folgate, Liverpool Street",51.521113,-0.078869,23
BikePoints_123,/Place/BikePoints_123,"St. John Street, Finsbury",51.52836,-0.104724,18
BikePoints_125,/Place/BikePoints_125,"Borough High Street, The Borough",51.500694,-0.094524,21
BikePoints_126,/Place/BikePoints_126,"Museum of London, Barbican",51.517821,-0.096496,52
BikePoints_127,/Place/BikePoints_127,"Wood Street, Guildhall",51.517008,-0.093885,17
BikePoints_128,/Place/BikePoints_128,"Emperor's Gate, South Kensington",51.495362,-0.185296,22
BikePoints_129,/Place/BikePoints_129,"Golden Square, Soho",51.511897,-0.137043,18
